Address,N,Nsqrt(N),SUMExtraFirstMinter,SUMExtraPostSnapshotMinter,TOTAL $OP
0x1Cd2278A4d15477B03Ce8130Ed381D9dAD84384d,1,1,0.5,0,1.5
0x85f2629da29fEB22186503fb78117eC131D33eb9,1,1,0,0,1
0x2BA1D521595C5B31B177fD5263F8B002F570E92a,2,2.828427125,0,0.5,3.328427125
0x957dbe00ae917AEbD2d4f6507F325D3FdbA6Caa0,6,14.69693846,2,0.5,17.19693846
0x51D2bF026Fde1Ce087c178d9cE3F91FdEbF054E6,1,1,0,0,1
0x29b85b666a45a50C358FE5e43fBbc9FF1bA792E1,2,2.828427125,0,0.5,3.328427125
0x53e17E794c576819B5E9c26be2C3d3ebD404a679,1,1,0,0.5,1.5
0xDAf7BBe20724d2dD7717E0E09a06B572C3A112DE,1,1,0,0,1
0x36fb66ea97A342c0f43CAB3045004C17bc15546a,1,1,0,0,1
0x9970a71Bbd7ce3fD9db7AB2552D55b9bC90925A3,1,1,0,0,1
0xeb19BFB054173101087390C35DE06eb1eFf4C1e4,1,1,0,0,1
0x05F761AacD63e4e96Bf98f0fE5614De5Ba90856C,1,1,0,0.5,1.5
0xa1Ae3838d292baE5e2578950f1e6Ec94071FE9a7,1,1,0,0.5,1.5
0xb91b3DEc63690356BDfc2d664cdAE19b3D96e5a1,1,1,0,0.5,1.5
0x0E7c3700B3ad9e741D787eC1dF337A6c71D45b57,1,1,0,0.5,1.5
0xa9A19D2Ac90bCa89FF58bDA3C98eA3E6500B09C3,1,1,0,0.5,1.5
0x88B0BE658E72C5518B37cE0A5625D3fD494dBAFA,1,1,0.5,0.5,2
,,,,,
TOTAL,,,,,42.35379271